raw_data,is_credit,date,amount,comments,bank,source
06-may-23 74056633127312620206246 paytm_innovativeretail bangalore in 0.00 166.57,0,06-may-23,166.57,   may                            paytm innovativeretail bangalore in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
07-may-23 74766513127318230084670 amazon http://www.am in 0.00 998.00,0,07-may-23,998.0,   may                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
07-may-23 74766513127318223613741 amazon http://www.am in 0.00 499.00,0,07-may-23,499.0,   may                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
07-may-23 74332743128312749242637 swiggy bengaluru in 0.00 266.00,0,07-may-23,266.0,   may                            swiggy bengaluru in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
08-may-23 74332743129312888931254 swiggy bengaluru in 0.00 188.00,0,08-may-23,188.0,   may                            swiggy bengaluru in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"09-may-23 74766513129318350134592 amazon http://www.am in 0.00 1,849.00",0,09-may-23,1849.0,   may                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
09-may-23 74332743130312945793850 swiggy bengaluru in 0.00 188.00,0,09-may-23,188.0,   may                            swiggy bengaluru in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
09-may-23 74332743130312964761432 swiggy bengaluru in 0.00 30.00,0,09-may-23,30.0,   may                            swiggy bengaluru in           ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
09-may-23 74056633130312953693965 paytm_innovativeretail bangalore in 0.00 323.43,0,09-may-23,323.43,   may                            paytm innovativeretail bangalore in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
10-may-23 74332743131313093495974 swiggy bengaluru in 0.00 188.00,0,10-may-23,188.0,   may                            swiggy bengaluru in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"11-may-23 74766513131318452271264 amazon http://www.am in 0.00 2,599.00",0,11-may-23,2599.0,   may                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-may-23 principal amount amortization - <2/3> 0.00 907.19,0,11-may-23,907.19,   may    principal amount amortization                    ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-may-23 igst-ci@18% 0.00 4.11,0,11-may-23,4.11,   may    igst ci              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
